model,row_id,fold,seed,group_id,y_true,oof_probability
FusionNN,SPAM-0217,3,42,0,1,0.9973703622817993
FusionNN,HAM-0326,5,42,1,0,0.001837430871091783
FusionNN,SPAM-0350,3,42,2,1,0.9965998530387878
FusionNN,SPAM-0355,5,42,3,1,0.9987733960151672
FusionNN,HAM-0073,2,42,5,0,0.008600820787250996
FusionNN,HAM-0002,3,42,6,0,0.0033824776764959097
FusionNN,SPAM-0110,1,42,7,1,0.99427729845047
FusionNN,HAM-0432,4,42,8,0,0.0033156152348965406
FusionNN,SPAM-0351,5,42,10,1,0.9987121820449829
FusionNN,HAM-0436,2,42,11,0,0.005802994128316641
FusionNN,HAM-0309,1,42,12,0,0.0015164533397182822
FusionNN,HAM-0020,3,42,13,0,0.002989859553053975
FusionNN,SPAM-0148,5,42,14,1,0.9985951781272888
FusionNN,HAM-0177,4,42,16,0,0.01827794499695301
FusionNN,HAM-0146,4,42,17,0,0.0021109923254698515
FusionNN,SPAM-0354,1,42,18,1,0.994918167591095
FusionNN,SPAM-0280,2,42,19,1,0.995909571647644
FusionNN,HAM-0487,3,42,21,0,0.0030145251657813787
FusionNN,SPAM-0152,5,42,22,1,0.9986338019371033
FusionNN,HAM-0179,2,42,23,0,0.010714535601437092
FusionNN,HAM-0350,1,42,25,0,0.0008671117248013616
FusionNN,HAM-0410,4,42,26,0,0.0021826457232236862
FusionNN,HAM-0260,3,42,27,0,0.0032227004412561655
FusionNN,HAM-0013,5,42,28,0,0.00215946976095438
FusionNN,SPAM-0174,3,42,30,1,0.9973878264427185
FusionNN,HAM-0219,1,42,31,0,0.0008722832426428795
FusionNN,SPAM-0395,2,42,32,1,0.9978779554367065
FusionNN,SPAM-0163,4,42,33,1,0.9976611137390137
FusionNN,HAM-0126,5,42,34,0,0.0019314370583742857
FusionNN,SPAM-0128,2,42,36,1,0.9978506565093994
FusionNN,HAM-0021,1,42,37,0,0.0022967674303799868
FusionNN,HAM-0409,3,42,38,0,0.002787323435768485
FusionNN,SPAM-0234,5,42,40,1,0.9989548921585083
FusionNN,HAM-0443,4,42,41,0,0.0017844983376562595
FusionNN,HAM-0469,1,42,42,0,0.0007691903156228364
FusionNN,HAM-0100,2,42,43,0,0.00883994810283184
FusionNN,SPAM-0330,3,42,45,1,0.9974484443664551
FusionNN,SPAM-0242,4,42,46,1,0.9977858066558838
FusionNN,SPAM-0022,5,42,47,1,0.9980996251106262
FusionNN,SPAM-0100,1,42,48,1,0.9938272833824158
FusionNN,HAM-0032,2,42,49,0,0.008179750293493271
FusionNN,HAM-0102,3,42,51,0,0.0032519041560590267
FusionNN,SPAM-0080,4,42,52,1,0.9913865327835083
FusionNN,SPAM-0112,5,42,53,1,0.9986661672592163
FusionNN,HAM-0476,5,42,54,0,0.002962564118206501
FusionNN,SPAM-0430,1,42,56,1,0.9955458641052246
FusionNN,SPAM-0370,2,42,57,1,0.9977972507476807
FusionNN,SPAM-0404,4,42,58,1,0.9816308617591858
FusionNN,SPAM-0367,3,42,60,1,0.9979507327079773
FusionNN,HAM-0343,2,42,61,0,0.007454473990947008
FusionNN,SPAM-0238,1,42,62,1,0.9939056038856506
FusionNN,SPAM-0145,3,42,63,1,0.9974912405014038
FusionNN,SPAM-0491,4,42,65,1,0.9975908994674683
FusionNN,SPAM-0059,5,42,66,1,0.9982624650001526
