config,seed,fold,accuracy,precision,recall,f1,mcc,roc_auc,pr_auc,brier
Full (SBERT+Struct+TFIDF),42,0,0.98125,0.9620253164556962,1.0,0.9806451612903225,0.9631548522638618,1.0,1.0,0.014200110670258208
-TFIDF (SBERT+Struct),42,0,0.98125,0.9620253164556962,1.0,0.9806451612903225,0.9631548522638618,0.99968671679198,0.9996626180836707,0.012622258396311625
-SBERT (Struct+TFIDF),42,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0029038819137214874
-Struct (SBERT+TFIDF),42,0,0.94375,0.9135802469135802,0.9736842105263158,0.9426751592356688,0.8893067219408366,0.9890350877192983,0.9877154825990074,0.045452203521807476
Full (SBERT+Struct+TFIDF),42,1,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999996,0.0001845401442801388
-TFIDF (SBERT+Struct),42,1,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999996,7.515633491176811e-05
-SBERT (Struct+TFIDF),42,1,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999996,0.0015938727663492081
-Struct (SBERT+TFIDF),42,1,0.949685534591195,0.9130434782608695,0.9692307692307692,0.9402985074626866,0.8980815330475005,0.9921440261865795,0.989135140912198,0.03559302109812839
Full (SBERT+Struct+TFIDF),42,2,0.9813664596273292,0.9883720930232558,0.9770114942528736,0.9826589595375722,0.9626012862866219,0.9996893445169307,0.9997372656409518,0.00931923203747434
-TFIDF (SBERT+Struct),42,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0008644274058552751
-SBERT (Struct+TFIDF),42,2,0.9813664596273292,0.9772727272727273,0.9885057471264368,0.9828571428571429,0.9625258384246195,0.9993786890338615,0.9994759302303141,0.012630441018968354
-Struct (SBERT+TFIDF),42,2,0.9751552795031055,0.9770114942528736,0.9770114942528736,0.9770114942528736,0.9499844672258465,0.9958061509785647,0.996391920242311,0.02385446840584914
Full (SBERT+Struct+TFIDF),42,3,0.9875,1.0,0.9733333333333334,0.9864864864864865,0.9751706796279974,1.0,1.0,0.008033324871510544
-TFIDF (SBERT+Struct),42,3,0.99375,1.0,0.9866666666666667,0.9932885906040269,0.9875190116902116,0.999843137254902,0.9998245614035087,0.005525342908743765
-SBERT (Struct+TFIDF),42,3,0.975,1.0,0.9466666666666667,0.9726027397260274,0.9508521705224561,0.9993725490196079,0.9992839550437244,0.024379101900297084
-Struct (SBERT+TFIDF),42,3,0.9625,0.948051948051948,0.9733333333333334,0.9605263157894737,0.9251143095555017,0.9945098039215686,0.9936921751027727,0.03255153312841461
Full (SBERT+Struct+TFIDF),42,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0006424984927404209
-TFIDF (SBERT+Struct),42,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00017181525187008023
-SBERT (Struct+TFIDF),42,4,0.9875776397515528,0.9891304347826086,0.9891304347826086,0.9891304347826086,0.9746376811594203,0.9996849401386264,0.9997649755066366,0.006870226006502611
-Struct (SBERT+TFIDF),42,4,0.9627329192546584,0.967391304347826,0.967391304347826,0.967391304347826,0.9239130434782609,0.9938563327032136,0.9946421134386706,0.024128515893709818
Full (SBERT+Struct+TFIDF),52,0,0.9937106918238994,0.9864864864864865,1.0,0.9931972789115646,0.9874288396577277,1.0,1.0000000000000004,0.005812372001097212
-TFIDF (SBERT+Struct),52,0,0.9937106918238994,0.9864864864864865,1.0,0.9931972789115646,0.9874288396577277,1.0,1.0000000000000004,0.004239719656434172
-SBERT (Struct+TFIDF),52,0,0.9937106918238994,0.9864864864864865,1.0,0.9931972789115646,0.9874288396577277,1.0,1.0000000000000002,0.003661254666942723
-Struct (SBERT+TFIDF),52,0,0.9622641509433962,0.9466666666666667,0.9726027397260274,0.9594594594594594,0.9244727132147945,0.9976107040458745,0.9973142538345836,0.02662344512435274
Full (SBERT+Struct+TFIDF),52,1,0.9814814814814815,0.9642857142857143,1.0,0.9818181818181818,0.9636241116594315,0.9996951684194482,0.9996970271485981,0.013026561789529822
-TFIDF (SBERT+Struct),52,1,0.9876543209876543,0.9759036144578314,1.0,0.9878048780487805,0.9756060828611426,0.9998475842097241,0.9998494429388738,0.009527224182071903
-SBERT (Struct+TFIDF),52,1,0.9876543209876543,0.9759036144578314,1.0,0.9878048780487805,0.9756060828611426,0.9981710105166895,0.9981588213727589,0.012210677471198458
-Struct (SBERT+TFIDF),52,1,0.9259259259259259,0.9859154929577465,0.8641975308641975,0.9210526315789473,0.8584187995811745,0.9907026367931717,0.9907109622345958,0.06065328841709959
Full (SBERT+Struct+TFIDF),52,2,0.9937888198757764,1.0,0.9880952380952381,0.9940119760479041,0.9876372565002549,1.0,1.0,0.001884384612739411
-TFIDF (SBERT+Struct),52,2,0.9937888198757764,1.0,0.9880952380952381,0.9940119760479041,0.9876372565002549,1.0,0.9999999999999999,0.003174028143236849
