issue_id,issue_name,requirement,evidence,evidence_file,verification_method,verification_result,status,failure_reason
A,threshold/model mismatch,threshold_oof_audit.json per-model OOF completeness,outputs/audit/threshold_oof_audit.json,outputs/audit/threshold_oof_audit.json,threshold_oof_audit.json per-model OOF completeness,PASS,PASS,
B,defanged structural shortcut,shortcut_control_audit.json identifies has_defanged association,outputs/audit/shortcut_control_audit.json,outputs/audit/shortcut_control_audit.json,shortcut_control_audit.json identifies has_defanged association,PASS,PASS,
C,external dataset integrity & isolation,external_dataset_integrity_audit.json & external_threshold_audit.json,outputs/audit/external_dataset_integrity_audit.json,outputs/audit/external_dataset_integrity_audit.json,external_dataset_integrity_audit.json & external_threshold_audit.json,PASS,PASS,
D,operating-point mismatch,operating_point_audit.json array/hash comparison (figure and canonical confusion matrices),outputs/audit/operating_point_audit.json,outputs/audit/operating_point_audit.json,operating_point_audit.json array/hash comparison (figure and canonical confusion matrices),PASS,PASS,
E,bootstrap wrong threshold,bootstrap_audit.json threshold_match and B,outputs/audit/bootstrap_audit.json,outputs/audit/bootstrap_audit.json,bootstrap_audit.json threshold_match and B,PASS,PASS,
F,FusionNN OOF epoch policy,OOF_FUSIONNN_EPOCHS == FINAL_EPOCHS,outputs/audit/final_model_selection_audit.json,outputs/audit/final_model_selection_audit.json,OOF_FUSIONNN_EPOCHS == FINAL_EPOCHS,PASS,PASS,
G,hardcoded paper fallbacks,paper_result_consistency_audit.json source+value recomputation,outputs/audit/paper_result_consistency_audit.json,outputs/audit/paper_result_consistency_audit.json,paper_result_consistency_audit.json source+value recomputation,PASS,PASS,
H,hardcoded master-results n,master_results_audit.json dynamic sample sizes derived from len(),outputs/audit/master_results_audit.json,outputs/audit/master_results_audit.json,master_results_audit.json dynamic sample sizes derived from len(),PASS,PASS,
I,distilbert shortcut audit,distilbert_shortcut_audit.json audit of token/marker visibility,outputs/audit/distilbert_shortcut_audit.json,outputs/audit/distilbert_shortcut_audit.json,distilbert_shortcut_audit.json audit of token/marker visibility,PASS,PASS,
J,standardized effect size,effect_size_audit.json cureton_rank_biserial implementation,outputs/audit/effect_size_audit.json,outputs/audit/effect_size_audit.json,effect_size_audit.json cureton_rank_biserial implementation,PASS,PASS,
K,explicit bootstrap protocol,bootstrap_audit.json protocol parameters,outputs/audit/bootstrap_audit.json,outputs/audit/bootstrap_audit.json,bootstrap_audit.json protocol parameters,PASS,PASS,
L,scientific quality gates,all mandatory gate inputs present + negative test suite proves no false-PASS path,outputs/audit/negative_test_results.json,outputs/audit/negative_test_results.json,all mandatory gate inputs present + negative test suite proves no false-PASS path,PASS,PASS,
M,dynamic paper results generation,paper_result_consistency_audit.json derived from result tables,outputs/audit/paper_result_consistency_audit.json,outputs/audit/paper_result_consistency_audit.json,paper_result_consistency_audit.json derived from result tables,PASS,PASS,
N,publication claims consistency,conservative interpretation enforced in paper consistency audit,outputs/audit/paper_result_consistency_audit.json,outputs/audit/paper_result_consistency_audit.json,conservative interpretation enforced in paper consistency audit,PASS,PASS,
