experiment,model,split,n,threshold,accuracy,precision,recall,f1,mcc,roc_auc,pr_auc,brier,ece,seed,fold,template,source_domain,artifact_condition,adversarial_rate
main_cv,LR-TFIDF,synthetic_dev,801,0.47,0.73125,0.72,0.7105263157894737,0.7152317880794702,0.4608512785365715,0.8359962406015038,0.8032358641126337,,,42.0,0.0,,,,
main_cv,LR-SBERT,synthetic_dev,801,0.64,0.94375,0.935064935064935,0.9473684210526315,0.9411764705882353,0.887358254542707,0.9899749373433584,0.9892685588586339,,,42.0,0.0,,,,
main_cv,LR-Structural,synthetic_dev,801,0.51,0.9875,0.9743589743589743,1.0,0.987012987012987,0.9752742953446232,1.0,1.0,,,42.0,0.0,,,,
main_cv,LR-SBERT+Structural,synthetic_dev,801,0.33,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,42.0,0.0,,,,
main_cv,LR-All,synthetic_dev,801,0.33,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,42.0,0.0,,,,
main_cv,LR-TFIDF,synthetic_dev,801,0.47,0.8490566037735849,0.8253968253968254,0.8,0.8125,0.6864705150141477,0.8944353518821604,0.899920294665629,,,42.0,1.0,,,,
main_cv,LR-SBERT,synthetic_dev,801,0.64,0.949685534591195,0.9253731343283582,0.9538461538461539,0.9393939393939394,0.896700873189911,0.9865793780687397,0.9823146542874301,,,42.0,1.0,,,,
main_cv,LR-Structural,synthetic_dev,801,0.51,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999996,,,42.0,1.0,,,,
main_cv,LR-SBERT+Structural,synthetic_dev,801,0.33,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999996,,,42.0,1.0,,,,
main_cv,LR-All,synthetic_dev,801,0.33,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999996,,,42.0,1.0,,,,
main_cv,LR-TFIDF,synthetic_dev,801,0.47,0.7639751552795031,0.8769230769230769,0.6551724137931034,0.75,0.5556759115613271,0.8884746815781299,0.9079700210874012,,,42.0,2.0,,,,
